#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	queryItem2	queryItem
Bin1	Synm	10090.ENSMUSP00000025239	10090.ENSMUSP00000073855	0	0	0	0	0.057	0.649	0	0	0.655	Synm	Bin1
Bin1	Synm	10090.ENSMUSP00000025239	10090.ENSMUSP00000073855	0	0	0	0	0.057	0.649	0	0	0.655	Synm	Bin1
Bin1	Synm	10090.ENSMUSP00000025239	10090.ENSMUSP00000073855	0	0	0	0	0.057	0.649	0	0	0.655	Synm	Bin1
Bin1	Clip1	10090.ENSMUSP00000025239	10090.ENSMUSP00000107192	0	0	0	0	0.055	0.426	0	0	0.435	Clip1	Bin1
Bin1	Clip1	10090.ENSMUSP00000025239	10090.ENSMUSP00000107192	0	0	0	0	0.055	0.426	0	0	0.435	Clip1	Bin1
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Marcks	10090.ENSMUSP00000102009	10090.ENSMUSP00000090245	0	0	0	0	0.058	0	0.47	0	0.479	Marcks	Camk2d
Camk2d	Marcks	10090.ENSMUSP00000102009	10090.ENSMUSP00000090245	0	0	0	0	0.058	0	0.47	0	0.479	Marcks	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map4	10090.ENSMUSP00000102009	10090.ENSMUSP00000035055	0	0	0	0	0.052	0.115	0.355	0	0.411	Map4	Camk2d
Camk2d	Map4	10090.ENSMUSP00000102009	10090.ENSMUSP00000035055	0	0	0	0	0.052	0.115	0.355	0	0.411	Map4	Camk2d
Camk2d	Prkcd	10090.ENSMUSP00000102009	10090.ENSMUSP00000107830	0	0	0	0.608	0.063	0.048	0.5	0	0.515	Prkcd	Camk2d
Camk2d	Prkcd	10090.ENSMUSP00000102009	10090.ENSMUSP00000107830	0	0	0	0.608	0.063	0.048	0.5	0	0.515	Prkcd	Camk2d
Camk2d	Mecp2	10090.ENSMUSP00000102009	10090.ENSMUSP00000033770	0	0	0	0	0	0	0.9	0	0.9	Mecp2	Camk2d
Camk2d	Mecp2	10090.ENSMUSP00000102009	10090.ENSMUSP00000033770	0	0	0	0	0	0	0.9	0	0.9	Mecp2	Camk2d
Camk2d	Marcks	10090.ENSMUSP00000102009	10090.ENSMUSP00000090245	0	0	0	0	0.058	0	0.47	0	0.479	Marcks	Camk2d
Camk2d	Marcks	10090.ENSMUSP00000102009	10090.ENSMUSP00000090245	0	0	0	0	0.058	0	0.47	0	0.479	Marcks	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Map2	10090.ENSMUSP00000102009	10090.ENSMUSP00000076577	0	0	0	0	0.063	0.451	0.355	0	0.639	Map2	Camk2d
Camk2d	Prkcd	10090.ENSMUSP00000102009	10090.ENSMUSP00000107830	0	0	0	0.608	0.063	0.048	0.5	0	0.515	Prkcd	Camk2d
Camk2d	Prkcd	10090.ENSMUSP00000102009	10090.ENSMUSP00000107830	0	0	0	0.608	0.063	0.048	0.5	0	0.515	Prkcd	Camk2d
Camk2d	Mylk	10090.ENSMUSP00000102009	10090.ENSMUSP00000023538	0	0	0	0.715	0.062	0.071	0.391	0	0.422	Mylk	Camk2d
Camk2d	Mylk	10090.ENSMUSP00000102009	10090.ENSMUSP00000023538	0	0	0	0.715	0.062	0.071	0.391	0	0.422	Mylk	Camk2d
Canx	Ssr1	10090.ENSMUSP00000020637	10090.ENSMUSP00000021864	0	0	0	0	0.263	0.36	0	0	0.508	Ssr1	Canx
Canx	Slc33a1	10090.ENSMUSP00000020637	10090.ENSMUSP00000029402	0	0	0	0	0.556	0.052	0	0	0.562	Slc33a1	Canx
Cbx1	Chd4	10090.ENSMUSP00000091475	10090.ENSMUSP00000060054	0	0	0	0	0.066	0.739	0	0	0.745	Chd4	Cbx1
Cbx1	Chd4	10090.ENSMUSP00000091475	10090.ENSMUSP00000060054	0	0	0	0	0.066	0.739	0	0	0.745	Chd4	Cbx1
Cbx1	Ssrp1	10090.ENSMUSP00000091475	10090.ENSMUSP00000076971	0	0	0	0	0.156	0.348	0	0	0.426	Ssrp1	Cbx1
Cbx1	Chd4	10090.ENSMUSP00000091475	10090.ENSMUSP00000060054	0	0	0	0	0.066	0.739	0	0	0.745	Chd4	Cbx1
Cgnl1	Tjp1	10090.ENSMUSP00000072672	10090.ENSMUSP00000099652	0	0	0	0	0.095	0	0.8	0	0.811	Tjp1	Cgnl1
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Smarcc2	10090.ENSMUSP00000060054	10090.ENSMUSP00000100868	0	0	0	0	0.164	0.478	0.218	0	0.628	Smarcc2	Chd4
Chd4	Smarcc2	10090.ENSMUSP00000060054	10090.ENSMUSP00000100868	0	0	0	0	0.164	0.478	0.218	0	0.628	Smarcc2	Chd4
Chd4	Smarcc2	10090.ENSMUSP00000060054	10090.ENSMUSP00000100868	0	0	0	0	0.164	0.478	0.218	0	0.628	Smarcc2	Chd4
Chd4	Wdr33	10090.ENSMUSP00000060054	10090.ENSMUSP00000025264	0	0	0	0	0.079	0.083	0.38	0	0.43	Wdr33	Chd4
Chd4	Wdr33	10090.ENSMUSP00000060054	10090.ENSMUSP00000025264	0	0	0	0	0.079	0.083	0.38	0	0.43	Wdr33	Chd4
Chd4	Wdr33	10090.ENSMUSP00000060054	10090.ENSMUSP00000025264	0	0	0	0	0.079	0.083	0.38	0	0.43	Wdr33	Chd4
Chd4	Top2b	10090.ENSMUSP00000060054	10090.ENSMUSP00000017629	0	0	0	0	0.172	0.197	0.248	0	0.456	Top2b	Chd4
Chd4	Top2b	10090.ENSMUSP00000060054	10090.ENSMUSP00000017629	0	0	0	0	0.172	0.197	0.248	0	0.456	Top2b	Chd4
Chd4	Top2b	10090.ENSMUSP00000060054	10090.ENSMUSP00000017629	0	0	0	0	0.172	0.197	0.248	0	0.456	Top2b	Chd4
Chd4	Mta2	10090.ENSMUSP00000060054	10090.ENSMUSP00000093959	0	0	0	0	0.145	0.886	0.966	0	0.996	Mta2	Chd4
Chd4	Mta2	10090.ENSMUSP00000060054	10090.ENSMUSP00000093959	0	0	0	0	0.145	0.886	0.966	0	0.996	Mta2	Chd4
Chd4	Mta2	10090.ENSMUSP00000060054	10090.ENSMUSP00000093959	0	0	0	0	0.145	0.886	0.966	0	0.996	Mta2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Mecp2	10090.ENSMUSP00000060054	10090.ENSMUSP00000033770	0	0	0	0	0.051	0.158	0.318	0	0.407	Mecp2	Chd4
Chd4	Mecp2	10090.ENSMUSP00000060054	10090.ENSMUSP00000033770	0	0	0	0	0.051	0.158	0.318	0	0.407	Mecp2	Chd4
Chd4	Mecp2	10090.ENSMUSP00000060054	10090.ENSMUSP00000033770	0	0	0	0	0.051	0.158	0.318	0	0.407	Mecp2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
Chd4	Hdac2	10090.ENSMUSP00000060054	10090.ENSMUSP00000019911	0	0	0	0	0.139	0.825	0.932	0	0.988	Hdac2	Chd4
